lat,lon
51.210,6.182
51.056,6.129
51.210,6.180
48.533,11.513
49.699,6.575
48.546,9.057
50.127,8.795
48.197,11.626
50.758,13.765
49.525,8.500
50.959,6.950
49.047,12.119
50.950,11.076
53.498,10.009
52.381,10.537
48.183,11.573
53.066,8.951
53.064,8.950
51.220,6.786
48.199,11.329
50.815,6.064
48.154,11.470
51.240,6.825
51.229,6.814
51.230,6.806
51.224,6.796
50.926,6.958
53.148,8.182
51.089,6.320
48.641,9.633
48.845,8.541
51.362,6.749
51.004,13.848
54.323,10.054
48.697,9.168
48.704,9.144
50.343,11.150
50.351,11.173
48.516,9.059
50.955,6.917
50.967,6.898
49.695,6.564
50.980,6.868
50.980,6.868
48.069,11.677
50.221,10.985
51.158,6.412
51.935,7.171
51.839,10.800
51.936,7.154
53.501,9.993
51.843,10.800
51.845,10.791
50.288,10.984
50.288,10.984
48.673,9.234
51.838,7.095
48.064,11.663
51.507,10.033
50.937,6.975
53.168,8.216
53.173,8.228
52.552,13.348
52.413,7.842
52.414,7.841
49.462,8.491
51.608,7.262
52.547,9.732
51.543,9.931
51.482,10.100
48.656,9.195
50.971,6.929
50.959,6.940
50.974,6.927
51.609,7.261
48.353,9.912
50.948,6.922
48.549,7.837
51.061,8.782
49.884,12.324
52.710,13.440
47.695,9.760
48.057,11.608
49.465,8.509
48.861,9.199
51.043,13.788
50.003,8.260
50.005,8.259
48.070,11.683
48.856,9.185
48.863,9.181
48.717,9.106
49.328,11.021
51.015,13.765
50.743,12.574
52.418,9.766
52.411,9.752
51.508,7.095
51.555,7.032
53.142,8.191
53.133,8.198
48.162,11.569
51.521,7.058
51.531,7.123
51.560,7.079
51.564,7.109
51.513,7.096
51.563,7.046
51.539,7.026
51.528,7.109
51.527,7.110
51.506,7.101
48.023,7.858
51.597,7.051
50.083,8.581
51.488,7.085
51.560,7.094
51.534,7.111
51.556,7.096
51.582,7.105
51.585,7.046
51.319,12.400
48.694,9.144
48.636,9.145
52.644,9.199
48.677,9.224
48.660,9.201
49.796,9.934
48.202,9.049
48.710,9.201
52.242,10.585
50.055,8.297
48.657,9.227
49.210,8.074
51.967,7.579
51.360,12.393
52.238,8.162
52.236,8.168
48.531,11.509
48.523,11.483
52.420,10.715
51.609,7.273
51.132,6.907
50.157,8.843
50.144,8.747
49.020,8.385
48.355,8.975
50.945,6.899
50.893,14.820
52.260,10.494
47.641,7.746
47.642,7.748
47.640,7.747
53.589,10.076
52.207,8.067
48.781,8.732
49.959,9.165
51.052,13.763
47.778,11.129
51.283,11.875
51.287,11.901
51.193,6.424
50.783,12.878
48.710,9.416
48.524,9.047
52.544,13.549
51.060,13.745
49.772,9.527
51.605,7.211
50.180,8.918
51.210,6.799
51.667,7.100
54.089,13.449
50.190,8.804
49.221,8.625
52.724,10.596
52.724,10.597
53.862,10.651
51.207,6.832
51.207,6.831
49.795,9.906
51.415,7.109
53.653,10.111
52.432,13.715
51.730,8.567
50.661,10.669
51.029,13.789
50.633,10.705
47.698,9.824
53.576,13.281
50.888,12.796
48.702,9.659
52.565,13.371
50.914,13.340
