lat,lon
49.969,9.252
48.147,11.462
50.141,8.573
50.141,8.573
51.820,9.873
51.495,9.601
49.595,11.336
52.084,8.747
50.830,12.921
52.416,10.715
52.197,8.580
48.162,10.719
47.988,11.866
51.178,7.750
48.767,11.425
53.160,8.613
51.883,12.458
48.213,9.026
48.522,8.834
48.731,9.110
48.742,8.963
51.944,6.865
51.093,6.840
51.093,6.841
50.141,8.573
54.475,9.050
48.459,11.133
51.276,9.196
48.940,8.893
50.862,13.168
49.164,8.487
52.143,8.484
48.832,9.317
48.016,8.032
50.992,7.130
53.141,8.912
48.890,8.236
52.695,13.111
48.025,11.591
50.973,6.952
48.531,7.852
51.867,12.644
48.843,8.530
48.847,8.547
49.892,10.887
52.352,13.631
52.468,10.204
51.361,8.401
49.591,11.008
53.179,8.751
52.131,11.640
49.451,8.672
50.979,11.329
48.628,8.997
52.337,13.414
50.809,8.771
49.559,11.340
48.242,10.359
51.829,7.278
48.047,10.489
48.855,8.531
49.923,10.777
50.928,11.587
51.279,9.066
51.859,14.411
47.918,7.746
49.947,8.449
51.533,9.935
49.953,10.874
50.019,8.783
47.627,8.572
53.837,9.961
50.015,10.890
48.530,11.509
51.167,12.255
52.013,8.698
53.849,11.983
49.508,6.744
52.381,13.212
51.742,7.183
48.810,11.456
48.572,7.813
51.127,13.579
52.396,13.062
51.282,7.041
47.774,10.749
51.484,11.974
48.858,8.202
48.844,8.499
48.775,9.155
48.846,8.589
48.227,11.468
48.691,9.565
47.652,7.565
48.845,9.518
48.642,8.903
53.836,9.490
51.915,9.150
50.978,11.029
51.474,6.861
48.175,11.720
50.803,6.482
49.270,12.300
49.051,11.781
48.928,11.454
51.100,13.677
52.526,11.392
49.323,9.361
50.150,11.174
53.109,9.399
51.100,13.676
48.625,8.924
49.353,6.807
49.347,12.382
48.652,8.822
48.652,8.822
51.160,12.927
54.171,10.555
48.599,9.491
52.028,8.902
48.671,9.379
51.100,13.678
51.201,11.972
48.612,8.841
51.772,8.316
48.171,11.350
54.130,8.861
52.259,10.066
51.983,7.789
47.683,9.203
50.880,6.879
48.561,8.848
51.054,12.694
49.821,9.964
48.577,8.923
49.599,8.737
49.913,11.010
53.920,9.517
48.930,9.480
50.345,9.215
48.535,8.022
48.876,9.073
52.132,11.640
50.485,8.259
51.404,6.709
49.095,8.280
50.814,8.341
49.198,7.144
49.809,8.515
49.068,9.291
50.538,12.502
47.626,8.571
47.626,8.571
49.386,11.356
48.743,9.307
51.627,12.265
49.057,9.898
49.388,11.353
51.870,10.025
51.066,14.639
50.736,13.556
51.161,13.680
51.237,13.048
50.860,13.175
50.909,6.808
51.432,13.214
53.600,9.836
51.353,13.226
48.522,9.121
51.483,13.125
49.196,13.051
51.161,13.904
51.571,7.380
48.325,8.482
48.325,8.464
48.626,7.917
48.722,8.965
50.846,6.358
48.931,8.864
51.212,7.877
53.929,12.346
49.011,9.155
48.656,11.469
50.856,8.547
49.932,8.096
48.723,9.657
48.413,7.896
53.789,9.770
52.175,7.631
50.509,11.140
49.683,8.778
50.509,10.752
48.774,8.581
51.640,12.883
52.660,13.533
48.521,9.121
47.696,8.687
49.617,11.064
49.351,11.315
51.417,9.651
50.786,11.312
49.929,10.875
48.775,8.814
50.996,9.146
48.003,8.782
52.294,13.791
51.895,11.051
47.689,9.157
50.899,10.767
50.661,6.797
51.112,13.774
51.676,8.346
51.512,10.261
48.986,8.541
52.146,14.630
53.754,9.655
51.637,13.563
50.963,13.942
52.200,8.641
52.032,8.606
49.355,11.143
49.936,10.924
47.694,9.273
48.048,11.702
49.041,9.314
48.687,9.627
50.820,6.130
49.514,11.280
47.742,9.007
51.584,14.172
